Product ID,Combination,Dry,Normal,Oily,Sensitive
318,1,0,1,1,1
319,1,0,1,1,1
320,1,1,1,1,1
321,1,1,1,1,1
322,0,0,0,0,0
323,1,1,1,1,1
324,0,0,0,0,0
325,1,1,1,1,1
326,0,0,0,0,0
327,0,0,0,0,0
328,1,1,1,1,1
329,1,0,1,1,1
330,1,1,1,1,1
331,0,0,0,0,0
332,1,1,1,1,1
333,1,1,1,1,1
334,1,1,1,1,0
335,1,1,1,1,1
336,1,1,1,1,0
337,1,1,1,1,0
338,1,1,1,1,1
339,1,1,1,1,1
340,0,0,0,0,0
341,1,1,1,1,1
342,1,1,1,1,1
343,0,0,0,0,0
344,1,1,1,1,1
345,1,1,1,1,0
346,1,1,1,1,0
347,0,0,0,0,0
348,0,0,0,0,0
349,1,1,1,1,0
350,1,1,1,1,0
351,0,0,0,0,0
352,1,0,1,1,1
353,1,1,1,1,1
354,0,0,0,0,0
355,1,1,1,1,1
356,1,1,1,1,1
357,0,0,0,0,0
358,1,0,1,1,0
359,1,1,1,1,1
360,1,1,1,1,1
361,1,1,1,1,1
362,1,0,1,1,0
363,1,1,1,1,1
364,1,1,1,1,0
365,1,1,1,1,1
366,0,0,0,0,0
367,1,1,1,1,1
368,1,0,1,0,0
369,0,0,0,0,0
370,1,1,1,1,1
371,1,0,1,0,0
372,0,0,0,0,0
373,1,1,1,0,1
374,1,0,0,1,0
375,1,1,1,1,1
376,1,1,1,1,0
377,1,1,1,1,1
378,1,0,0,1,0
379,1,1,1,1,1
380,1,1,1,1,1
381,1,1,1,0,1
382,0,0,0,0,0
383,1,1,1,1,1
384,1,1,1,1,0
385,1,1,1,1,1
386,1,1,1,1,1
387,0,0,0,0,0
388,1,1,1,1,0
389,1,0,1,1,1
390,0,0,0,0,0
391,0,0,0,0,0
392,1,1,1,1,1
393,0,0,0,0,0
394,0,0,0,0,0
395,1,1,1,1,1
396,1,1,1,1,1
397,1,1,1,1,0
398,1,1,1,1,1
399,1,1,1,0,1
400,0,0,0,0,0
401,1,1,1,1,1
402,1,1,1,1,0
403,0,0,0,0,0
404,0,0,0,0,0
405,1,1,1,1,1
406,0,0,0,0,0
407,0,0,0,0,0
408,1,1,1,1,1
409,1,1,1,1,1
410,1,0,1,1,0
411,0,0,0,0,0
412,1,1,1,1,1
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,0
416,1,0,0,1,0
417,1,1,1,1,0
418,1,1,1,1,1
419,1,1,1,1,1
420,0,0,0,0,0
421,1,1,1,1,0
422,0,0,0,0,0
423,1,1,1,1,1
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,0
431,0,0,0,0,0
432,0,0,0,0,0
433,1,1,1,1,1
434,1,1,1,1,1
435,1,1,1,1,1
436,1,1,1,1,1
437,1,1,1,1,1
438,0,0,0,0,0
439,0,0,0,0,0
440,1,1,1,1,1
441,1,1,1,0,1
442,0,0,0,0,0
443,1,1,1,1,1
